comment_id,is_reply,like_count,parent_id,published_at,retrieved_at,source,text,thread_id,updated_at,video_id,text_original,text_clean,comment_age_days,relevance_status,relevance_score,llm_relevance,stance,frames,emotion,narrative_frame,sarcasm,irony,rhetorical_question,metaphor,llm_rationale,llm_source,llm_cached_at,llm_cache_key,human_stance,human_frames,human_emotion,human_narrative_frame,human_relevance
demo_c_1adc72c1346e,False,19,,2024-04-01 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_1cbe679640_2,2024-03-19 02:00:00+00:00,demo_1cbe679640,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,869,directly relevant,4,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_c51747168fda,False,39,,2025-12-13 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_63f6f04d8f_0,2025-12-09 02:00:00+00:00,demo_63f6f04d8f,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,248,directly relevant,5,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_37dd3b6e8a03,False,10,,2025-12-03 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_63f6f04d8f_1,2025-12-13 02:00:00+00:00,demo_63f6f04d8f,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,258,directly relevant,6,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_5518348948c6,False,34,,2024-10-22 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_0c97815d8b_1,2024-10-04 02:00:00+00:00,demo_0c97815d8b,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,665,directly relevant,4,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_8c316659158b,False,32,,2025-02-19 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_312f83e82c_0,2025-02-03 02:00:00+00:00,demo_312f83e82c,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,545,directly relevant,5,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_948209095d38,False,20,,2025-10-07 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Tuvalu should not be left alone. Australia has a responsibility here.,thread_demo_3353ac9b6b_0,2025-09-27 02:00:00+00:00,demo_3353ac9b6b,Tuvalu should not be left alone. Australia has a responsibility here.,Tuvalu should not be left alone. Australia has a responsibility here.,315,directly relevant,4,directly relevant,Support,['Other'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:45Z,38d4189a92ce0194a2cd1aad48c5c8971dfe10f21783b9deaface4c6da0fe005,,,,,
demo_c_5a7d8911cf29,False,16,,2024-10-21 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_0c97815d8b_2,2024-10-23 02:00:00+00:00,demo_0c97815d8b,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,666,directly relevant,5,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_485144e8eead,False,26,,2024-03-14 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_dfab26f187_2,2024-03-16 02:00:00+00:00,demo_dfab26f187,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,887,directly relevant,4,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
demo_c_9090331a877e,False,25,,2025-09-22 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,Feels like the media keeps framing this through geopolitics instead of human security.,thread_demo_3353ac9b6b_1,2025-10-09 02:00:00+00:00,demo_3353ac9b6b,Feels like the media keeps framing this through geopolitics instead of human security.,Feels like the media keeps framing this through geopolitics instead of human security.,330,directly relevant,5,directly relevant,Neutral,['Strategic Security' 'China / Geopolitics'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:49Z,de4eb7ba0df7bd0bb5defb887759d30778cb9c53b5d4bceaf2d87ecaaa4201f4,,,,,
demo_c_6acd0a19453f,False,12,,2024-01-25 00:00:00+00:00,2026-08-18 17:15:45+00:00,demo,This is a smart regional arrangement. People need to understand the climate and security context.,thread_demo_03c30817a8_0,2024-01-12 02:00:00+00:00,demo_03c30817a8,This is a smart regional arrangement. People need to understand the climate and security context.,This is a smart regional arrangement. People need to understand the climate and security context.,936,directly relevant,5,directly relevant,Support,['Climate Justice' 'Human Security'],Neutral,Other,False,False,False,False,Heuristic fallback used because no OpenAI API key was available.,heuristic,2026-08-18T17:11:35Z,df98c332ee927099f0a8f0a2306d2689dea1b0eaf980ae46b0408ba58b9cb460,,,,,
